order_id,order_date,customer_id,customer_segment,region,product_name,category,subcategory,acquisition_channel,qty,unit_price,discount_pct,revenue,profit,payment_method,is_fraud_flag,order_status,delivery_date,delivery_days,delivery_cost,customer_rating,product_weight_kg
10012,2024-02-29,C83361,B2C_Standard,Moscow,Yoga Mat Premium,Sports,Fitness,paid_search,1,4714.0,0.22,3676.92,2043.51,card,0,cancelled,,,89.01,,1.0
10013,2024-04-28,C54879,B2B_Small,Saint Petersburg,Coffee Machine Delux,Home,Kitchen,organic_search,1,25756.49,0.034,24880.77,6153.9,wallet,0,returned,2024-05-01,3,300.37,,3.2
10014,2024-10-17,C75954,B2C_Standard,Moscow,Coffee Machine Delux,Home,Kitchen,direct,1,31216.66,0.069,29062.71,7682.01,card,0,delivered,2024-10-20,3,258.17,3,3.2
10015,2024-02-07,C53848,B2C_Budget,Moscow,Wireless Headphones,Electronics,Audio,email,1,21418.93,0.225,16599.67,5115.34,credit,0,returned,2024-02-09,2,37.75,,0.3
10016,2024-04-26,C31755,B2C_Standard,Moscow,Classic Jeans,Clothing,Bottoms,direct,1,5050.26,0.005,5025.01,2960.75,sbp,0,in_transit,2024-04-30,4,41.84,,0.5
10017,2024-11-25,C19702,B2C_Standard,Moscow,Classic Jeans,Clothing,Bottoms,direct,1,5310.44,0.082,4874.98,2255.19,invoice,0,returned,2024-11-28,3,62.01,,0.5
10018,2024-03-29,C31755,B2C_Standard,Moscow,Protein Powder 2kg,Sports,Nutrition,direct,1,5680.19,0.102,5100.81,2550.61,invoice,0,delivered,2024-04-01,3,210.52,5,2.0
10019,2024-06-20,C42562,B2C_Standard,Saint Petersburg,Laptop UltraSlim 15,Electronics,Computers,referral,1,104322.05,0.043,99836.2,15760.02,credit,0,in_transit,2024-06-25,5,128.97,,1.6
10020,2024-07-18,C42562,B2C_Standard,Moscow,Yoga Mat Premium,Sports,Fitness,social_media,1,4655.6,0.082,4273.84,2586.72,wallet,0,in_transit,2024-07-23,5,94.7,,1.0
10021,2024-06-24,C96178,B2B_Small,Saint Petersburg,Laptop UltraSlim 15,Electronics,Computers,email,2,100586.72,0.117,177636.15,26562.32,wallet,0,in_transit,2024-06-29,5,159.4,,1.6
10022,2024-01-18,C50214,B2B_Medium,Moscow,Puffer Jacket Winter,Clothing,Outerwear,email,3,10555.5,0.062,29703.18,14693.48,credit,0,delivered,2024-01-20,2,113.29,4,0.9
10023,2024-06-13,C23872,B2C_Budget,Saint Petersburg,Running Shoes Elite,Sports,Footwear,email,1,11765.21,0.032,11388.72,4913.89,credit,0,delivered,2024-06-16,3,49.71,5,0.6
10024,2024-12-05,C31755,B2C_Standard,Saint Petersburg,Coffee Machine Delux,Home,Kitchen,organic_search,1,27897.5,0.016,27451.14,7524.25,credit,0,delivered,2024-12-10,5,391.49,5,3.2
10025,2024-02-19,C30749,B2C_Budget,Moscow,Sci-Fi Novel Set,Books,Fiction,paid_search,1,2110.98,0.019,2070.87,854.42,card,0,delivered,2024-02-23,4,65.14,5,0.7
10026,2024-09-13,C31755,B2C_Standard,Moscow,Wireless Headphones,Electronics,Audio,social_media,1,20222.74,0.063,18948.71,6092.78,sbp,0,cancelled,,,34.31,,0.3
10027,2024-01-06,C96136,B2B_Small,Moscow,Classic Jeans,Clothing,Bottoms,social_media,2,5458.43,0.019,10709.44,5137.37,sbp,0,cancelled,,,61.24,,0.5
10028,2024-02-27,C15612,B2B_Small,Moscow,Running Shoes Elite,Sports,Footwear,paid_search,1,13641.41,0.068,12713.79,5096.47,card,0,cancelled,,,67.92,,0.6
10029,2024-09-24,C83361,B2C_Standard,Saint Petersburg,Protein Powder 2kg,Sports,Nutrition,social_media,1,4914.04,0.127,4289.96,2130.26,invoice,0,delivered,2024-09-29,5,212.33,4,2.0
10030,2024-07-04,C23175,B2B_Medium,Moscow,Puffer Jacket Winter,Clothing,Outerwear,email,3,10221.14,0.034,29620.86,12757.43,sbp,0,delivered,2024-07-09,5,101.42,5,0.9
10031,2024-04-14,C22924,B2C_Premium,Krasnoyarsk,Puffer Jacket Winter,Clothing,Outerwear,organic_search,2,6083.95,0.048,11583.84,5121.36,card,0,in_transit,2024-04-22,8,276.26,,0.9
10032,2024-12-04,C28666,B2C_Standard,Yekaterinburg,Smartphone Pro X,Electronics,Mobile,social_media,1,92270.1,0.112,81935.85,14234.75,credit,0,delivered,2024-12-11,7,247.38,5,0.2
10033,2024-02-05,C56567,B2B_Medium,Rostov-on-Don,Sci-Fi Novel Set,Books,Fiction,direct,6,1216.4,0.026,7108.64,3123.43,card,0,returned,2024-02-13,8,406.42,,0.7
10034,2024-08-08,C81999,B2B_Small,Moscow,Wireless Headphones,Electronics,Audio,direct,1,21345.56,0.107,19061.59,5244.45,card,0,cancelled,,,34.25,,0.3
10035,2024-10-20,C31755,B2C_Standard,Moscow,Wireless Headphones,Electronics,Audio,email,1,20942.01,0.069,19497.01,6878.01,wallet,0,delivered,2024-10-24,4,25.43,4,0.3
10036,2024-09-02,C62225,B2C_Standard,Moscow,Wireless Headphones,Electronics,Audio,referral,1,21567.7,0.123,18914.87,5177.14,invoice,0,delivered,2024-09-06,4,31.22,4,0.3
10037,2024-08-25,C92786,B2C_Standard,Moscow,Protein Powder 2kg,Sports,Nutrition,direct,1,5487.81,0.03,5323.18,2479.57,invoice,0,cancelled,,,178.4,,2.0
10038,2024-06-18,C18438,B2C_Premium,Yekaterinburg,Sci-Fi Novel Set,Books,Fiction,paid_search,1,1320.28,0.165,1102.43,395.56,sbp,0,in_transit,2024-06-23,5,266.46,,0.7
10039,2024-05-14,C23872,B2C_Budget,Moscow,Sci-Fi Novel Set,Books,Fiction,organic_search,1,2165.65,0.059,2037.88,906.17,wallet,0,cancelled,,,63.08,,0.7
10040,2024-09-04,C73856,B2B_Medium,Krasnoyarsk,Cookbook Italian,Books,Non-fiction,organic_search,2,855.19,0.138,1474.35,557.55,wallet,0,delivered,2024-09-10,6,335.25,4,0.8
10041,2024-10-07,C10043,B2C_Premium,Moscow,Sci-Fi Novel Set,Books,Fiction,direct,1,1986.88,0.137,1714.68,610.53,sbp,0,delivered,2024-10-11,4,58.53,5,0.7
10042,2024-04-15,C56196,B2C_Budget,Moscow,Smartphone Pro X,Electronics,Mobile,organic_search,1,140296.4,0.01,138893.44,24639.77,sbp,0,delivered,2024-04-18,3,20.8,5,0.2
10043,2024-12-28,C72927,B2B_Small,Saint Petersburg,Puffer Jacket Winter,Clothing,Outerwear,email,3,8644.93,0.024,25312.36,12280.94,card,0,in_transit,2024-12-31,3,123.41,,0.9
10044,2024-01-02,C45334,B2C_Budget,Moscow,Puffer Jacket Winter,Clothing,Outerwear,paid_search,1,10835.81,0.035,10456.56,4518.21,sbp,0,in_transit,2024-01-04,2,76.74,,0.9
10045,2024-07-18,C62225,B2C_Standard,Kazan,Running Shoes Elite,Sports,Footwear,direct,1,8535.26,0.115,7553.71,3074.15,card,0,delivered,2024-07-25,7,269.16,4,0.6
10046,2024-02-01,C17828,B2C_Standard,Moscow,Yoga Mat Premium,Sports,Fitness,direct,1,4668.65,0.063,4374.53,2217.7,sbp,0,in_transit,2024-02-03,2,128.43,,1.0
10047,2024-07-15,C40498,B2C_Standard,Moscow,Coffee Machine Delux,Home,Kitchen,direct,1,31689.64,0.118,27950.26,7717.24,wallet,0,in_transit,2024-07-20,5,436.8,,3.2
10048,2024-06-23,C14993,B2C_Standard,Krasnoyarsk,Protein Powder 2kg,Sports,Nutrition,organic_search,1,3435.45,0.056,3243.06,1271.42,sbp,0,delivered,2024-06-29,6,527.36,3,2.0
10049,2024-08-15,C77184,B2B_Small,Moscow,Smartphone Pro X,Electronics,Mobile,social_media,2,141401.57,0.022,276581.47,44916.9,credit,0,delivered,2024-08-17,2,24.06,5,0.2
10050,2024-08-27,C75954,B2C_Standard,Moscow,Sci-Fi Novel Set,Books,Fiction,paid_search,1,2124.28,0.034,2052.05,729.8,wallet,0,returned,2024-08-31,4,59.37,,0.7
10051,2024-12-12,C85675,B2C_Budget,Saint Petersburg,Smart Watch Sport,Electronics,Wearables,email,1,35052.55,0.05,33299.92,7920.53,wallet,0,in_transit,2024-12-18,6,12.5,,0.1
10052,2024-11-24,C26430,B2B_Medium,Moscow,Coffee Machine Delux,Home,Kitchen,paid_search,2,29749.24,0.016,58546.5,15828.23,credit,0,returned,2024-11-26,2,371.26,,3.2
10053,2024-11-18,C32065,B2C_Budget,Yekaterinburg,Puffer Jacket Winter,Clothing,Outerwear,social_media,1,6727.66,0.064,6297.09,3174.99,credit,0,returned,2024-11-22,4,382.12,,0.9
10054,2024-03-29,C56196,B2C_Budget,Moscow,Coffee Machine Delux,Home,Kitchen,paid_search,1,28908.13,0.225,22403.8,6749.82,invoice,0,returned,2024-04-01,3,330.71,,3.2
10055,2024-03-20,C73856,B2B_Medium,Kazan,Sci-Fi Novel Set,Books,Fiction,organic_search,8,1264.84,0.103,9076.49,4087.27,invoice,0,cancelled,,,400.87,,0.7
10056,2024-06-14,C31141,B2C_Standard,Moscow,Smart Watch Sport,Electronics,Wearables,organic_search,1,38819.42,0.034,37499.56,8193.23,card,0,delivered,2024-06-19,5,13.49,5,0.1
10057,2024-04-04,C73856,B2B_Medium,Saint Petersburg,Protein Powder 2kg,Sports,Nutrition,email,1,5077.5,0.124,4447.89,1751.4,card,0,cancelled,,,177.31,,2.0
10058,2024-05-29,C66589,B2B_Medium,Moscow,Sci-Fi Novel Set,Books,Fiction,referral,2,2053.39,0.104,3679.67,1313.68,wallet,0,in_transit,2024-06-03,5,70.73,,0.7
10059,2024-01-11,C22235,B2B_Small,Moscow,Classic Jeans,Clothing,Bottoms,social_media,1,5311.52,0.074,4918.47,2542.17,sbp,0,delivered,2024-01-16,5,59.46,4,0.5
10060,2024-12-22,C54879,B2B_Small,Moscow,Coffee Machine Delux,Home,Kitchen,email,1,31317.66,0.196,25179.4,6014.11,credit,0,delivered,2024-12-26,4,346.73,3,3.2
10061,2024-03-21,C86344,B2B_Medium,Rostov-on-Don,Smartphone Pro X,Electronics,Mobile,organic_search,5,77299.29,0.211,304945.7,58898.01,invoice,0,delivered,2024-03-26,5,239.85,4,0.2
10062,2024-09-02,C32065,B2C_Budget,Saint Petersburg,Coffee Machine Delux,Home,Kitchen,referral,1,25665.05,0.038,24689.78,7493.05,credit,0,returned,2024-09-08,6,447.82,,3.2
10063,2024-09-27,C27878,B2C_Standard,Moscow,Running Shoes Elite,Sports,Footwear,referral,1,12933.68,0.052,12261.13,5102.07,sbp,0,returned,2024-10-01,4,51.47,,0.6
10064,2024-07-08,C62225,B2C_Standard,Moscow,Wireless Headphones,Electronics,Audio,paid_search,1,20828.49,0.111,18516.53,6622.11,wallet,0,in_transit,2024-07-11,3,37.82,,0.3
10065,2024-02-25,C30749,B2C_Budget,Yekaterinburg,Sci-Fi Novel Set,Books,Fiction,paid_search,1,1406.95,0.039,1352.08,472.35,card,0,returned,2024-03-03,7,303.21,,0.7
10066,2024-07-03,C66346,B2C_Premium,Saint Petersburg,Puffer Jacket Winter,Clothing,Outerwear,direct,1,9166.99,0.066,8561.97,3723.8,invoice,0,in_transit,2024-07-09,6,118.59,,0.9
10067,2024-04-27,C93531,B2B_Small,Moscow,Cookbook Italian,Books,Non-fiction,social_media,3,1452.98,0.033,4215.09,,credit,0,cancelled,,,105.63,,0.8
10068,2024-05-02,C17316,B2C_Standard,Moscow,Protein Powder 2kg,Sports,Nutrition,organic_search,1,5623.88,0.078,5185.22,2119.96,sbp,0,in_transit,2024-05-05,3,165.79,,2.0
10069,2024-08-17,C18438,B2C_Premium,Moscow,Puffer Jacket Winter,Clothing,Outerwear,organic_search,1,10122.23,0.131,8796.22,3935.8,sbp,0,delivered,2024-08-19,2,76.43,1,0.9
10070,2024-04-03,C42743,B2C_Budget,Moscow,Coffee Machine Delux,Home,Kitchen,direct,1,29245.24,0.059,27519.77,7585.79,wallet,0,cancelled,,,322.94,,3.2
10071,2024-09-06,C42743,B2C_Budget,Saint Petersburg,Sci-Fi Novel Set,Books,Fiction,organic_search,1,1882.77,0.072,1747.21,733.2,credit,0,delivered,2024-09-11,5,66.93,4,0.7
10072,2024-10-26,C62549,B2C_Standard,Moscow,Cookbook Italian,Books,Non-fiction,direct,1,1437.4,0.048,1368.4,446.26,wallet,0,cancelled,,,93.13,,0.8
10073,2024-06-06,C61568,B2C_Premium,Moscow,Yoga Mat Premium,Sports,Fitness,email,2,4591.48,0.059,8641.17,5300.45,sbp,0,returned,2024-06-08,2,88.74,,1.0
10074,2024-03-17,C18489,B2C_Standard,Moscow,Smartphone Pro X,Electronics,Mobile,paid_search,1,142623.4,0.199,114241.34,22878.71,sbp,0,delivered,2024-03-19,2,23.73,,0.2
10075,2024-06-30,C83361,B2C_Standard,Moscow,Classic Jeans,Clothing,Bottoms,social_media,1,5253.8,0.05,4991.11,2557.11,wallet,0,delivered,2024-07-02,2,57.51,5,0.5
10076,2024-08-15,C15389,B2C_Premium,Saint Petersburg,Laptop UltraSlim 15,Electronics,Computers,organic_search,2,100284.94,0.056,189337.97,24992.68,credit,0,delivered,2024-08-19,4,139.98,4,1.6
10077,2024-01-01,C83361,B2C_Standard,Samara,Smartphone Pro X,Electronics,Mobile,direct,1,81490.34,0.068,75949.0,12944.02,sbp,0,returned,2024-01-07,6,206.67,,0.2
10078,2024-07-02,C87000,B2B_Medium,Saint Petersburg,Protein Powder 2kg,Sports,Nutrition,direct,5,4668.03,0.041,22383.2,9070.07,card,0,in_transit,2024-07-08,6,207.01,,2.0
10079,2024-05-07,C15389,B2C_Premium,Saint Petersburg,Classic Jeans,Clothing,Bottoms,referral,1,4655.03,0.119,4101.08,2258.63,invoice,0,returned,2024-05-10,3,67.8,,0.5
10080,2024-02-21,C36120,B2B_Medium,Moscow,Smart Watch Sport,Electronics,Wearables,paid_search,5,40953.64,0.094,185519.99,34863.81,invoice,0,delivered,2024-02-25,4,11.35,2,0.1
10081,2024-03-09,C22541,B2C_Standard,Moscow,Sci-Fi Novel Set,Books,Fiction,paid_search,1,2033.07,0.185,1656.95,585.04,sbp,0,cancelled,,,81.23,,0.7
10082,2024-01-10,C22541,B2C_Standard,Saint Petersburg,Sci-Fi Novel Set,Books,Fiction,referral,1,1721.89,0.04,1653.01,624.91,sbp,0,delivered,2024-01-14,4,83.25,3,0.7
10083,2024-09-05,C41168,B2C_Standard,Moscow,Smart Watch Sport,Electronics,Wearables,social_media,1,41620.38,0.154,35210.84,6895.68,card,0,delivered,2024-09-09,4,9.45,3,0.1
10084,2024-05-02,C36198,B2B_Medium,Moscow,Protein Powder 2kg,Sports,Nutrition,referral,3,5703.49,0.072,15878.52,7017.23,card,0,delivered,2024-05-06,4,173.46,4,2.0
10085,2024-06-24,C18438,B2C_Premium,Moscow,Smart Watch Sport,Electronics,Wearables,paid_search,1,39516.09,0.039,37974.96,8442.94,sbp,0,cancelled,,,11.59,,0.1
10086,2024-02-01,C75954,B2C_Standard,Moscow,Wireless Headphones,Electronics,Audio,social_media,1,21122.03,0.041,20256.03,6780.53,wallet,0,delivered,2024-02-05,4,24.96,5,0.3
10087,2024-10-21,C12184,B2B_Small,Yekaterinburg,Coffee Machine Delux,Home,Kitchen,direct,3,20593.0,0.015,60852.32,18703.09,credit,0,cancelled,,,560.47,,3.2
10088,2024-07-23,C51223,B2B_Small,Moscow,Running Shoes Elite,Sports,Footwear,paid_search,1,13499.18,0.031,13080.71,6222.69,credit,0,cancelled,,,53.35,,0.6
10089,2024-05-02,C15001,B2C_Budget,Moscow,Yoga Mat Premium,Sports,Fitness,organic_search,1,4972.62,0.191,4022.85,2058.86,invoice,0,delivered,2024-05-06,4,112.55,4,1.0
10090,2024-06-26,C77746,B2C_Standard,Saint Petersburg,Laptop UltraSlim 15,Electronics,Computers,paid_search,1,106480.65,0.069,99133.49,12016.34,credit,0,returned,2024-06-30,4,213.43,,1.6
10091,2024-02-19,C87000,B2B_Medium,Moscow,Coffee Machine Delux,Home,Kitchen,direct,2,30389.81,0.023,59381.69,18390.15,sbp,0,cancelled,,,264.58,,3.2
10092,2024-07-17,C70652,B2C_Premium,Moscow,Laptop UltraSlim 15,Electronics,Computers,paid_search,1,116830.28,0.093,105965.06,16347.89,sbp,0,in_transit,2024-07-21,4,177.96,,1.6
10093,2024-11-13,C94009,B2C_Premium,Moscow,Smart Watch Sport,Electronics,Wearables,direct,1,40255.55,0.084,36874.08,7393.72,sbp,0,delivered,2024-11-16,3,11.09,3,0.1
10094,2024-07-10,C87858,B2C_Premium,Saint Petersburg,Puffer Jacket Winter,Clothing,Outerwear,referral,1,8808.51,0.093,7989.32,3656.23,invoice,0,returned,2024-07-13,3,106.83,,0.9
10095,2024-05-26,C54520,B2C_Budget,Saint Petersburg,Yoga Mat Premium,Sports,Fitness,paid_search,1,4225.12,0.134,3658.95,,invoice,0,delivered,2024-05-31,5,138.02,4,1.0
10096,2024-12-15,C67251,B2C_Budget,Moscow,Yoga Mat Premium,Sports,Fitness,paid_search,1,4998.75,0.062,4688.83,2304.44,invoice,0,delivered,2024-12-18,3,87.03,4,1.0
10097,2024-11-03,C67345,B2B_Medium,Krasnoyarsk,Classic Jeans,Clothing,Bottoms,email,2,3148.68,0.316,4307.39,1983.74,invoice,0,delivered,2024-11-10,7,284.57,4,0.5
10098,2024-05-06,C84883,B2B_Medium,Krasnoyarsk,Puffer Jacket Winter,Clothing,Outerwear,direct,5,6110.56,0.113,27100.33,12640.56,credit,0,delivered,2024-05-13,7,243.65,3,0.9
10099,2024-09-12,C21289,B2C_Standard,Yekaterinburg,Sci-Fi Novel Set,Books,Fiction,organic_search,1,1379.33,0.027,1342.09,468.7,wallet,0,delivered,2024-09-18,6,424.88,5,0.7
10100,2024-02-22,C67345,B2B_Medium,Moscow,Sci-Fi Novel Set,Books,Fiction,social_media,3,2137.84,0.088,5849.13,2448.58,sbp,0,in_transit,2024-02-27,5,75.63,,0.7
10101,2024-02-23,C53848,B2C_Budget,Rostov-on-Don,Smart Watch Sport,Electronics,Wearables,email,1,23500.37,0.086,21479.34,4992.03,invoice,0,delivered,2024-02-28,5,358.79,5,0.1
10102,2024-11-21,C45034,B2C_Budget,Moscow,Coffee Machine Delux,Home,Kitchen,paid_search,1,30376.47,0.228,23450.63,6707.66,credit,0,cancelled,,,272.79,,3.2
10103,2024-05-01,C82444,B2C_Standard,Saint Petersburg,Protein Powder 2kg,Sports,Nutrition,social_media,1,4944.37,0.057,4662.54,2094.42,sbp,0,delivered,2024-05-05,4,160.95,2,2.0
10104,2024-11-07,C12184,B2B_Small,Moscow,Laptop UltraSlim 15,Electronics,Computers,organic_search,1,117354.61,0.228,90597.76,13727.72,credit,0,delivered,2024-11-12,5,210.45,4,1.6
10105,2024-02-15,C27618,B2C_Standard,Novosibirsk,Smart Watch Sport,Electronics,Wearables,email,1,25522.54,0.101,22944.76,5339.38,card,0,delivered,2024-02-23,8,243.63,5,0.1
10106,2024-01-06,C61568,B2C_Premium,Moscow,Laptop UltraSlim 15,Electronics,Computers,referral,1,123022.09,0.112,109243.62,14640.29,invoice,0,delivered,2024-01-08,2,156.53,5,1.6
10107,2024-01-11,C75361,B2C_Premium,Moscow,Smart Watch Sport,Electronics,Wearables,social_media,1,40645.0,0.078,37474.69,9172.34,card,0,cancelled,,,10.31,,0.1
10108,2024-09-18,C48973,B2C_Standard,Rostov-on-Don,Smart Watch Sport,Electronics,Wearables,paid_search,1,22635.78,0.133,19625.22,4593.34,invoice,0,returned,2024-09-23,5,341.93,,0.1
10109,2024-06-19,C15001,B2C_Budget,Moscow,Yoga Mat Premium,Sports,Fitness,direct,1,4675.74,0.021,4577.55,,card,0,returned,2024-06-21,2,106.34,,1.0
10110,2024-01-06,C32834,B2C_Budget,Krasnoyarsk,Smart Watch Sport,Electronics,Wearables,organic_search,1,22569.91,0.045,21554.26,4938.08,sbp,0,delivered,2024-01-15,9,239.42,5,0.1
10111,2024-04-01,C99542,B2C_Premium,Moscow,Protein Powder 2kg,Sports,Nutrition,referral,1,5727.5,0.128,4994.38,2328.59,credit,0,in_transit,2024-04-05,4,222.98,,2.0
10112,2024-05-29,C98157,B2B_Small,Moscow,Smartphone Pro X,Electronics,Mobile,paid_search,2,137147.04,0.151,232875.67,,sbp,0,delivered,2024-05-31,2,19.37,4,0.2
10113,2024-10-23,C66481,B2C_Budget,Moscow,Cookbook Italian,Books,Non-fiction,organic_search,1,1435.93,0.042,1375.62,562.55,card,0,delivered,2024-10-28,5,79.62,5,0.8
10114,2024-10-20,C38061,B2C_Premium,Moscow,Puffer Jacket Winter,Clothing,Outerwear,social_media,1,9998.06,0.05,9498.16,4374.25,invoice,0,delivered,2024-10-25,5,72.05,5,0.9
10115,2024-11-21,C11809,B2B_Medium,Moscow,Smart Watch Sport,Electronics,Wearables,direct,2,38415.37,0.116,67918.37,14196.16,invoice,0,delivered,2024-11-26,5,13.32,3,0.1
10116,2024-09-22,C48584,B2C_Budget,Saint Petersburg,Puffer Jacket Winter,Clothing,Outerwear,direct,1,925599.0,0.089,8432.21,3594.36,invoice,0,returned,2024-09-25,3,74.27,,0.9
10117,2024-10-05,C62549,B2C_Standard,Saint Petersburg,Classic Jeans,Clothing,Bottoms,organic_search,1,4519.24,0.239,3439.14,1869.95,wallet,0,delivered,2024-10-11,6,46.46,4,0.5
10118,2024-03-01,C81390,B2C_Budget,Moscow,Sci-Fi Novel Set,Books,Fiction,referral,1,2015.31,0.088,1837.96,730.1,invoice,0,in_transit,2024-03-05,4,95.39,,0.7
10119,2024-01-02,C45034,B2C_Budget,Novosibirsk,Running Shoes Elite,Sports,Footwear,social_media,1,8116.51,0.086,7418.49,3317.19,sbp,0,delivered,2024-01-07,5,444.03,5,0.6
10120,2024-04-20,C50558,B2C_Budget,Kazan,Classic Jeans,Clothing,Bottoms,paid_search,1,3383.7,0.049,3217.9,1564.95,wallet,0,delivered,2024-04-26,6,232.4,5,0.5
10121,2024-11-01,C49734,B2B_Medium,Moscow,Puffer Jacket Winter,Clothing,Outerwear,social_media,8,10335.08,0.062,77554.44,35761.73,card,0,delivered,2024-11-03,2,94.07,5,0.9
10122,2024-09-15,C10070,B2B_Medium,Samara,Cookbook Italian,Books,Non-fiction,paid_search,8,885.42,0.07,6587.52,2261.88,invoice,0,returned,2024-09-21,6,487.53,,0.8
10123,2024-10-17,C67394,B2B_Small,Novosibirsk,Coffee Machine Delux,Home,Kitchen,organic_search,1,18429.11,0.05,17507.65,4790.71,card,0,returned,2024-10-22,5,633.79,,3.2
10124,2024-05-18,C81639,B2C_Premium,Rostov-on-Don,Laptop UltraSlim 15,Electronics,Computers,referral,1,69417.28,0.056,65529.91,9861.51,invoice,0,delivered,2024-05-24,6,522.03,5,1.6
10125,2024-05-01,C77746,B2C_Standard,Krasnoyarsk,Coffee Machine Delux,Home,Kitchen,email,1,18675.13,0.017,18357.65,4690.04,card,0,delivered,2024-05-08,7,679.48,5,3.2
10126,2024-02-23,C29777,B2C_Budget,Moscow,Smartphone Pro X,Electronics,Mobile,paid_search,1,145637.86,0.037,140249.26,27262.9,credit,0,delivered,2024-02-27,4,22.93,5,0.2
10127,2024-09-17,C49381,B2C_Premium,Saint Petersburg,Wireless Headphones,Electronics,Audio,social_media,1,17792.07,0.086,16261.95,5867.38,card,0,in_transit,2024-09-21,4,32.01,,0.3
10128,2024-01-20,C35949,B2C_Budget,Yekaterinburg,Smart Watch Sport,Electronics,Wearables,referral,1,25730.87,0.04,24701.64,5065.04,card,0,returned,2024-01-26,6,376.05,,0.1
10129,2024-10-14,C32281,B2B_Medium,Saint Petersburg,Coffee Machine Delux,Home,Kitchen,paid_search,3,27161.07,0.07,75779.39,19885.5,credit,0,cancelled,,,394.38,,3.2
10130,2024-10-28,C87134,B2C_Premium,Moscow,Smartphone Pro X,Electronics,Mobile,paid_search,1,137238.89,0.135,118711.64,23459.95,wallet,0,returned,2024-11-01,4,20.95,,0.2
10131,2024-08-12,C94738,B2B_Small,Saint Petersburg,Puffer Jacket Winter,Clothing,Outerwear,paid_search,2,8733.74,0.087,15947.81,6584.75,wallet,0,delivered,2024-08-17,5,75.81,5,0.9
10132,2024-07-05,C85291,B2B_Small,Moscow,Cookbook Italian,Books,Non-fiction,referral,2,1471.39,0.158,2477.82,950.65,wallet,0,delivered,2024-07-07,2,86.44,4,0.8
10133,2024-06-01,C13956,B2C_Standard,Novosibirsk,Running Shoes Elite,Sports,Footwear,direct,1,8413.83,0.013,8304.45,3174.2,sbp,0,returned,2024-06-09,8,298.73,,0.6
10134,2024-01-25,C86344,B2B_Medium,Moscow,Cookbook Italian,Books,Non-fiction,organic_search,1,1399.5,0.119,1232.96,405.97,wallet,0,delivered,2024-01-29,4,66.82,5,0.8
10135,2024-07-07,C21163,B2B_Small,Novosibirsk,Coffee Machine Delux,Home,Kitchen,social_media,1,19315.43,0.069,17982.67,5776.92,card,0,delivered,2024-07-14,7,475.24,4,3.2
10136,2024-10-19,C79164,B2B_Medium,Moscow,Running Shoes Elite,Sports,Footwear,paid_search,7,14129.15,0.062,92772.0,37910.06,credit,0,delivered,2024-10-24,5,75.98,4,0.6
